name,BPB,BPC,tok/byte,byte/tok,tok/sent
BPE,1.1589,2.0850,0.1200,8.33,55.7
WordPiece,1.1107,1.9982,0.1231,8.12,57.1
SP-Unigram,1.1121,2.0006,0.1266,7.90,58.8
SuperBPE,1.1770,2.1175,0.1123,8.90,52.1
LiB (no supra),1.2529,2.2541,0.2917,3.43,135.3
LiB,1.1688,2.1027,0.1387,7.21,64.4
