name,BPB,BPC,tok/byte,byte/tok,tok/sent
BPE,1.5799,1.6133,0.1953,5.12,30.0
WordPiece,1.5051,1.5370,0.2076,4.82,31.9
SP-Unigram,1.5075,1.5394,0.2098,4.77,32.2
SuperBPE,1.5687,1.6019,0.1730,5.78,26.6
LiB (no supra),1.7754,1.8129,0.4999,2.00,76.8
LiB,1.5945,1.6282,0.2199,4.55,33.8
