name,BPB,BPC,tok/byte,byte/tok,tok/sent
BPE,1.7033,1.8557,0.1714,5.83,38.3
WordPiece,1.6402,1.7870,0.1872,5.34,41.8
SP-Unigram,1.6711,1.8207,0.1942,5.15,43.4
SuperBPE,1.7305,1.8854,0.1725,5.80,38.6
LiB (no supra),1.8622,2.0289,0.4612,2.17,103.1
LiB,1.7016,1.8540,0.2339,4.28,52.3
