name,BPB,BPC,tok/byte,byte/tok,tok/sent
BPE,2.1288,5.8364,0.2045,4.89,58.0
WordPiece,2.1162,5.8018,0.2292,4.36,65.0
SP-Unigram,2.0421,5.5988,0.2222,4.50,63.0
SuperBPE,2.1239,5.8228,0.2081,4.81,59.0
LiB (no supra),2.1188,5.8089,0.2465,4.06,69.9
LiB,2.1113,5.7884,0.2437,4.10,69.1
