name,BPB,BPC,tok/byte,byte/tok,tok/sent
BPE,1.2196,1.2746,0.1654,6.05,16.2
WordPiece,1.1553,1.2075,0.1855,5.39,18.2
SP-Unigram,1.1502,1.2021,0.1872,5.34,18.4
SuperBPE,1.2433,1.2994,0.1580,6.33,15.5
LiB (no supra),1.3853,1.4478,0.4171,2.40,40.9
LiB,1.2615,1.3185,0.2022,4.94,19.8
