name,BPB,BPC,tok/byte,byte/tok,tok/sent
BPE,1.8051,1.8100,0.2000,5.00,55.1
WordPiece,1.7177,1.7223,0.2096,4.77,57.8
SP-Unigram,1.7332,1.7379,0.2139,4.67,59.0
SuperBPE,1.8150,1.8199,0.1757,5.69,48.4
LiB (no supra),2.0085,2.0140,0.5126,1.95,141.3
LiB,1.8223,1.8272,0.2148,4.66,59.2
