name,BPB,BPC,tok/byte,byte/tok,tok/sent
BPE,1.7100,1.7413,0.1867,5.36,55.5
WordPiece,1.6208,1.6504,0.1954,5.12,58.1
SP-Unigram,1.6168,1.6464,0.1991,5.02,59.2
SuperBPE,1.7331,1.7648,0.1736,5.76,51.6
LiB (no supra),1.8626,1.8967,0.4449,2.25,132.2
LiB,1.7129,1.7442,0.2112,4.73,62.8
